"Tanggal","Temperatur Maksimum (°C)"
"2005-01-01","27.8"
"2005-01-02","29.1"
"2005-01-03","28.6"
"2005-01-04","28.4"
"2005-01-05","27.8"
"2005-01-06","27.2"
"2005-01-07","26.2"
"2005-01-08","28.2"
"2005-01-09","28"
"2005-01-10","29.2"
"2005-01-11","29.6"
"2005-01-12","29.2"
"2005-01-13","29.2"
"2005-01-14","30.1"
"2005-01-15","30"
"2005-01-16","29.6"
"2005-01-17","25.6"
"2005-01-18","25.6"
"2005-01-19","25.6"
"2005-01-20","28"
"2005-01-21","28"
"2005-01-22","28.6"
"2005-01-23","27.4"
"2005-01-24","25.8"
"2005-01-25","27.8"
"2005-01-26","28.4"
"2005-01-27","28"
"2005-01-28","28.4"
"2005-01-29","26.4"
"2005-01-30","27.4"
"2005-01-31","28.6"
"2005-02-01","29.3"
"2005-02-02","29.8"
"2005-02-03","30.5"
"2005-02-04","29.8"
"2005-02-05","29.7"
"2005-02-06","28.8"
"2005-02-07","29.7"
"2005-02-08","28.4"
"2005-02-09","29.4"
"2005-02-10","29.6"
"2005-02-11","25.4"
"2005-02-12","28"
"2005-02-13","26.3"
"2005-02-14","29.8"
"2005-02-15","27.8"
"2005-02-16","29"
"2005-02-17","29.4"
"2005-02-18","27.4"
"2005-02-19","28"
"2005-02-20","29.4"
"2005-02-21","26.6"
"2005-02-22","27.4"
"2005-02-23","28.5"
"2005-02-24","29.6"
"2005-02-25","28"
"2005-02-26","28.5"
"2005-02-27","26.4"
"2005-02-28","27.4"
"2005-03-01","29.6"
"2005-03-02","29"
"2005-03-03","28.6"
"2005-03-04","28.7"
"2005-03-05","28.8"
"2005-03-06","26.1"
"2005-03-07","29.3"
"2005-03-08","29.2"
"2005-03-09","29.4"
"2005-03-10","30"
"2005-03-11","30.2"
"2005-03-12","31"
"2005-03-13","30.4"
"2005-03-14","31"
"2005-03-15","29.4"
"2005-03-16","29.9"
"2005-03-17","29.4"
"2005-03-18","27.4"
"2005-03-19","29"
"2005-03-20","29.6"
"2005-03-21","30.5"
"2005-03-22","28.2"
"2005-03-23","26"
"2005-03-24","28.4"
"2005-03-25","28.2"
"2005-03-26","25.8"
